순위,관광지명,주소,분류,합산 검색 수
56,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,46039
57,금오름,제주 제주시,자연경관(산),45383
58,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,44824
59,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,44314
60,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,43567
61,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,42486
62,새별오름,제주 제주시,자연경관(산),41777
63,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,41153
64,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,41104
65,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,40913
66,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,40414
67,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,39501
68,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,39455
69,산굼부리,제주 제주시,복합관광시설,38717
70,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,38693
71,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,37433
72,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,37391
73,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,36843
74,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,36767
75,빛의벙커,제주 서귀포시,전시시설,36761
76,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),36179
77,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,35911
78,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),34715
79,비밀의숲,제주 제주시,기타레저스포츠,34595
80,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),33175
81,판포포구,제주 제주시,자연경관(하천/해양),32023
82,수목원길야시장,제주 제주시,시장,31281
83,한림공원,제주 제주시 한림로 300-0,도시공원,31116
84,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,30729
85,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),30388
86,신라스테이제주,제주 제주시 노연로 100-0,호텔,30025
87,송악산둘레길,제주 서귀포시,기타레저스포츠,29885
88,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,29733
89,제주항제6부두,제주 제주시 임항로 191-0,자연경관(하천/해양),29635
90,한라수목원,제주 제주시 수목원길 72-0,자연공원,29505
91,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,28618
92,삼양해수욕장,제주 제주시,자연경관(하천/해양),28251
93,새별오름,제주 제주시,자연관광(산),27747
94,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,27500
95,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,27492
96,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,27118
97,약천사,제주 서귀포시 이어도로 293-28,종교성지,26876
98,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,26740
99,제스코마트,제주 제주시 연북로 444-0,대형마트,26715
100,제주항국제여객선터미널,제주 제주시 임항로 191-0,교통시설,26489
